geometry,id,S_US_Inundation_Ar,S_DS_Inundation_Ar,S_Lev_Inundation_Ar,S_Inc_Flood_Scen_Ar,dist_to_S_Levee_Ln,dist_to_S_RM_Dams_Pt,elevation_m,longitude,latitude
POINT (-77.91099999999976 34.19),49,False,False,False,False,1000000.0,1000000.0,0,-77.91099999999976,34.19
POINT (-77.90999999999976 34.19),50,False,False,False,False,1000000.0,1000000.0,0,-77.90999999999976,34.19
POINT (-77.90899999999975 34.19),51,False,False,False,False,1000000.0,1000000.0,0,-77.90899999999975,34.19
POINT (-77.90799999999975 34.19),52,False,False,False,False,1000000.0,1000000.0,0,-77.90799999999975,34.19
POINT (-77.90699999999974 34.19),53,False,False,False,False,1000000.0,1000000.0,0,-77.90699999999974,34.19
POINT (-77.90599999999974 34.19),54,False,False,False,False,1000000.0,1000000.0,0,-77.90599999999974,34.19
POINT (-77.90499999999973 34.19),55,False,False,False,False,1000000.0,1000000.0,0,-77.90499999999973,34.19
POINT (-77.90399999999973 34.19),56,False,False,False,False,1000000.0,1000000.0,0,-77.90399999999973,34.19
POINT (-77.90299999999972 34.19),57,False,False,False,False,1000000.0,1000000.0,0,-77.90299999999972,34.19
POINT (-77.90199999999972 34.19),58,False,False,False,False,1000000.0,1000000.0,0,-77.90199999999972,34.19
POINT (-77.90099999999971 34.19),59,False,False,False,False,1000000.0,1000000.0,0,-77.90099999999971,34.19
POINT (-77.89999999999971 34.19),60,False,False,False,False,1000000.0,1000000.0,0,-77.89999999999971,34.19
POINT (-77.8989999999997 34.19),61,False,False,False,False,1000000.0,1000000.0,0,-77.8989999999997,34.19
POINT (-77.8979999999997 34.19),62,False,False,False,False,1000000.0,1000000.0,0,-77.8979999999997,34.19
POINT (-77.8969999999997 34.19),63,False,False,False,False,1000000.0,1000000.0,0,-77.8969999999997,34.19
POINT (-77.89599999999969 34.19),64,False,False,False,False,1000000.0,1000000.0,0,-77.89599999999969,34.19
POINT (-77.89499999999968 34.19),65,False,False,False,False,1000000.0,1000000.0,0,-77.89499999999968,34.19
