num,Date,Time,Lat,Long,Max_Winds_kt,SSHWS,RMW_nm,Central_Pressure,OCI_mb,Size_nm,States_Affected,Strom_Name,,
61,9/28/1929,1300Z,25.0N,80.5W,100,3,30,948,1008,300,"BFL3,",CFL3,---------------,
62,10/1/1929,0400Z,30.2N,85.7W,70,1,---,975,1011,400,AFL1,---------------,,
63,8/14/1932,0400Z,29.0N,95.2W,130,4,10,935,1011,200,"CTX4,BTX1",Freeport,,
64,09/01/1932,0500Z,30.2N,88.1W,75,1,---,979,1009,200,"AFL1,AL1,MS1",---------------,,
65,7/30/1933,1600Z,27.1N,80.1W,65,1,---,988,1018,150,CFL1,---------------,,
66,8/5/1933#,0100Z,25.8N,97.2W,80,1,25,975,1010,200,ATX,---------------,,
67,8/23/1933,1200Z,36.1N,75.8W,75,1,40,966,1008,300,"NC1,VA1,MD1",---------------,,
68,9/5/1933,0400Z,26.1N,97.2W,110,3,20,-940,1010,225,ATX3,---------------,,
69,9/4/1933,0500Z,26.9N,80.1W,110,3,15,948,1013,175,CF3,---------------,,
70,9/16/1933*,1200Z,35.2N,75.4W,85,2,40,952,1013,275,"NC2,VA1",---------------,,
71,6/16/1934,1900Z,29.7N,91.7W,85,2,30,966,1004,275,LA2,---------------,,
72,7/25/1934,1700Z,28.1N,96.8W,75,1,25,-979,1009,225,ATX1,---------------,,
73,9/8/1934*,1000Z,35.3N,75.3W,65,1,---,-975,1014,200,NC1,---------------,,
74,9/8/1934*,2200Z,39.7N,73.4W,65,1,---,-984,1017,200,NJ1,---------------,,
75,9/9/1934,0200Z,40.7N,73.0W,65,1,---,-989,1018,200,NY1,---------------,,
76,9/3/1935,0200Z,24.8N,80.8W,160,5,5,892,1010,300,"CFL5,",BFL5,Labor Day,
77,9/4/1935,2200Z,29.6N,83.4W,85,2,20,-965,1012,350,"AFL2,",IGA1,Labor Day,
78,11/4/1935,1800Z,25.9N,80.1W,85,2,10,973,1012,225,"CFL2,",BFL1,---------------,
79,6/27/1936,1600Z,27.9N,97.0W,70,1,5,987,1013,150,BTX1,---------------,,
80,7/31/1936,1400Z,30.4N,86.6W,90,2,20,964,1013,200,"AFL2,",I-AL1,---------------,
81,9/18/1936*,1000Z,35.6N,74.8W,75,1,35,964,1016,325,"NC1,",VA1,---------------,
82,8/15/1938,0100Z,29.8N,93.4W,65,1,---,-995,1010,100,LA1,---------------,,
83,9/21/1938,2000Z,40.7N,72.9W,105,3,40,941,1011,350,NY3,Great New England,,
84,9/21/1938,2100Z,41.3N,72.9W,100,3,40,946,1011,350,"CT3,","RI3,",MA2,Great New England
85,8/11/1939,2300Z,27.2N,80.2W,65,1,---,-987,1012,100,CFL1,---------------,,
86,8/13/1939,0600Z,30.4N,86.4W,65,1,---,985,1015,200,AFL1,---------------,,
87,8/7/1940,2100Z,29.7N,94.1W,85,2,10,972,1011,225,"CTX2,",LA2,---------------,
88,8/11/1940,2000Z,32.1N,80.8W,85,2,25,972,1014,225,"SC2,",GA1,---------------,
89,9/23/1941,2200Z,28.8N,95.6W,110,3,20,942,1007,250,"CTX3,BTX2",---------------,,
90,10/6/1941,1000Z,25.5N,80.2W,85,2,10,980,1015,125,"CFL2,BFL1",---------------,,
91,10/6/1941,1100Z,25.5N,80.3W,85,2,10,980,1015,125,"CFL2,BFL1",---------------,,
92,10/7/1941,0900Z,29.9N,84.6W,80,1,20,982,1015,125,"AFL1,IGA1",---------------,,
93,8/21/1942,1300Z,29.5N,94.6W,65,1,---,992,1010,100,CTX1,---------------,,
94,8/30/1942,0900Z,28.3N,96.6W,100,3,20,950,1007,250,"BTX3,CTX2",---------------,,
95,7/27/1943,1800Z,29.5N,94.6W,90,2,15,967,1013,250,CTX2,---------------,,
96,8/1/1944,2300Z,33.9N,78.1W,70,1,10,985,1014,175,NC1,---------------,,
97,9/14/1944*,1300Z,35.2N,75.3W,90,2,15,940,1010,300,"NC2,VA2",Great Atlantic,,
98,9/15/1944,0200Z,40.9N,72.2W,90,2,30,954,1009,300,"NY2,",NJ1,Great Atlantic,
99,9/15/1944,0400Z,41.4N,71.6W,85,2,30,957,1009,300,"RI2,CT1,MA1",Great Atlantic,,
100,10/18/1944,2100Z,24.6N,82.9W,105,3,30,949,1010,350,BFL3,---------------,,
101,10/19/1944,0700Z,27.2N,82.5W,90,2,35,962,1011,375,"DFL1,AFL1",---------------,,
102,6/24/1945,0800Z,28.6N,82.7W,70,1,---,-985,1011,200,AFL1,---------------,,
103,8/27/1945,1200Z,28.2N,96.7W,100,3,10,963,1010,150,"BTX3,ATX1,CTX1",---------------,,
104,9/15/1945,1930Z,25.3N,80.3W,115,4,10,949,125,125,"CFL4,BFL2,DFL1",---------------,,
105,9/15/1945,2000Z,25.4N,80.4W,115,4,10,949,1011,125,"CFL4,BFL2,DFL1",---------------,,
106,10/8/1946,0200Z,27.5N,82.6W,75,1,35,980,1009,325,"BFL1,AFL1",---------------,,
107,8/24/1947,2200Z,29.2N,94.9W,70,1,---,984,1010,75,CTX1,---------------,,
108,9/16/1947,1630Z,26.1N,80.1W,115,4,15,943,1010,275,"CFL4,BFL2",---------------,,
109,9/19/1947,1400Z,29.6N,89.5W,95,2,25,966,1010,250,"LA2,MS2",---------------,,
110,10/12/1947,0200Z,25.4N,81.2W,80,1,---,975,1009,250,"BFL1,CFL1",---------------,,
111,10/15/1947,1100Z,31.8N,80.9W,90,2,15,-965,1009,300,"GA2,SC2",---------------,,
112,9/4/1948,0700Z,29.1N,90.5W,70,1,---,983,1009,225,LA1,---------------,,
113,9/21/1948,1700Z,24.6N,81.6W,105,3,10,955,1008,250,"BFL4,CFL2",---------------,,
114,9/22/1948,0500Z,25.8N,81.3W,115,4,10,940,1007,300,"BFL4,CFL2",---------------,,
115,10/5/1948,1800Z,24.7N,81.2W,90,2,15,-963,1009,225,"BFL2,CFL2",---------------,,
116,8/24/1949*,1200Z,34.3N,76.1W,70,1,25,977,1016,175,NC1,---------------,,
117,8/26/1949,2300Z,26.6N,80.0W,115,4,20,954,1011,225,"CFL4,BFL1,AFL1,DFL1,GA1",---------------,,
118,10/4/1949,0500Z,28.8N,95.6W,95,2,15,965,1009,200,"CTX2,BTX1",---------------,,
119,8/31/1950,0300Z,30.2N,88.0W,75,1,20,979,1003,250,"AL1,",AFL1,Baker,
120,8/31/1950,0400Z,30.7N,87.9W,75,1,20,979,1003,250,"AL1,AFL1",Baker,,
121,9/5/1950,1700Z,29.1N,82.8W,105,3,15,960,1009,325,"AFL3,BFL1",Easy,,
122,9/6/1950,0400Z,28.5N,82.7W,90,2,---,-965,1008,300,"AFL3,BFL1",Easy,,
123,10/18/1950,0500Z,25.7N,80.2W,115,4,5,955,1005,200,"CFL4,DFL1",King,,
124,8/31/1952,0300Z,32.3N,80.6W,85,2,---,-980,1011,175,SC2,Able,,
125,8/14/1953,0300Z,35.0N,76.1W,80,1,---,-975,1015,150,NC1,Barbara,,
126,8/14/1953,0500Z,35.4N,76.1W,75,1,---,-978,1015,150,NC1,Barbara,,
127,8/14/1953,0900Z,36.1N,75.9W,70,1,---,-982,1015,150,NC1,Barbara,,
128,9/26/1953,1500Z,30.3N,86.2W,80,1,---,-975,1008,225,AFL1,Florence,,
129,10/9/1953,1500Z,26.7N,82.2W,75,1,---,-980,1011,300,BFL1,Hazel,,
130,10/9/1953,1600Z,26.7N,82.1W,75,1,---,-980,1011,300,BFL1,Hazel,,
131,8/31/1954*,0300Z,35.4N,75.1W,75,1,25,960,1007,225,NC1,Carol,,
132,8/31/1954,1400Z,40.9N,72.2W,100,3,20,955,1010,325,NY3,Carol,,
133,8/31/1954,1500Z,41.3N,72.0W,100,3,20,957,1010,325,"CT3,RI3,MA2",Carol,,
134,9/11/1954*,0300Z,34.9N,74.4W,65,1,15,943,1007,375,NC1,Edna,,
135,9/11/1954,1830Z,41.4N,70.5W,95,2,25,950,1007,375,"MA2,NY1,RI1",Edna,,
136,9/11/1954,1900Z,41.7N,70.3W,95,2,25,952,1007,375,"MA2,NY1,RI1",Edna,,
137,9/11/1954,1930Z,41.9N,70.1W,90,2,25,954,1007,375,"MA2,NY1,RI1",Edna,,
138,10/15/1954,1530Z,33.9N,78.6W,115,4,20,938,1008,475,"SC4,NC4",Hazel,,
139,8/12/1955,1500Z,34.7N,76.7W,85,2,30,962,1011,425,"NC2,VA1",Connie,,
140,9/19/1955,1100Z,34.7N,76.7W,90,2,25,955,1013,375,NC2,Ione,,
141,9/24/1956,1000Z,29.1N,89.4W,75,1,20,980,1010,300,LA1,Flossy,,
142,9/25/1956,0000Z,30.4N,86.4W,80,1,20,974,1010,300,AFL1,Flossy,,
143,6/27/1957,1330Z,29.8N,93.7W,110,3,15,946,1003,200,"LA3,CTX2",Audrey,,
144,9/27/1958*,1800Z,33.9N,77.6W,110,3,20,938,1011,275,NC3,Helene,,
145,7/9/1959,0400Z,33.0N,79.6W,65,1,20,995,1017,125,SC1,Cindy,,
